date,team1,conference1,team2,conference2,conference_match,sets_1,sets_2,final_score,sets_played,team1_set1,team2_set1,set1_winner,match_winner,comeback_win
2019-08-30,Northeastern,CAA,Green Bay,Horizon,Non-Conference,1,3,3-1,4,16,25,Green Bay,Green Bay,FALSE
2019-08-30,South Carolina St.,MEAC,Texas Southern,SWAC,Non-Conference,2,3,3-2,5,25,21,South Carolina St.,Texas Southern,TRUE
2019-08-30,UNLV,Mountain West,Weber St.,Big Sky,Non-Conference,1,3,3-1,4,22,25,Weber St.,Weber St.,FALSE
2019-08-30,SIUE,OVC,UC Riverside,Big West,Non-Conference,0,3,3-0,3,17,25,UC Riverside,UC Riverside,FALSE
2019-08-30,Temple,AAC,Fairfield,MAAC,Non-Conference,3,0,3-0,3,25,20,Temple,Temple,FALSE
2019-08-30,Washington St.,Pac-12,James Madison,CAA,Non-Conference,3,0,3-0,3,25,20,Washington St.,Washington St.,FALSE
2019-08-30,Niagara,MAAC,Stetson,ASUN,Non-Conference,0,3,3-0,3,17,25,Stetson,Stetson,FALSE
2019-08-30,Howard,MEAC,Hartford,America East,Non-Conference,3,0,3-0,3,25,23,Howard,Howard,FALSE
2019-08-30,South Carolina,SEC,Cincinnati,AAC,Non-Conference,1,3,3-1,4,21,25,Cincinnati,Cincinnati,FALSE
2019-08-30,William & Mary,CAA,Quinnipiac,MAAC,Non-Conference,3,2,3-2,5,25,15,William & Mary,William & Mary,FALSE
2019-08-30,Loyola Maryland,Patriot,Furman,SoCon,Non-Conference,3,2,3-2,5,22,25,Furman,Loyola Maryland,TRUE
2019-08-30,Gardner-Webb,Big South,Charlotte,C-USA,Non-Conference,0,3,3-0,3,8,25,Charlotte,Charlotte,FALSE
2019-08-30,Marist,MAAC,Alabama,SEC,Non-Conference,0,3,3-0,3,20,25,Alabama,Alabama,FALSE
2019-08-30,UT Martin,OVC,Marshall,C-USA,Non-Conference,0,3,3-0,3,19,25,Marshall,Marshall,FALSE
2019-08-30,UAB,C-USA,Ball St.,MAC,Non-Conference,0,3,3-0,3,29,31,Ball St.,Ball St.,FALSE
2019-08-30,Milwaukee,Horizon,Arkansas St.,Sun Belt,Non-Conference,3,2,3-2,5,25,15,Milwaukee,Milwaukee,FALSE
2019-08-30,Texas Tech,Big 12,VCU,Atlantic 10,Non-Conference,3,0,3-0,3,25,17,Texas Tech,Texas Tech,FALSE
2019-08-30,Illinois St.,MVC,North Texas,C-USA,Non-Conference,3,1,3-1,4,16,25,North Texas,Illinois St.,TRUE
2019-08-30,Akron,MAC,San Diego St.,Mountain West,Non-Conference,0,3,3-0,3,20,25,San Diego St.,San Diego St.,FALSE
2019-08-30,Oakland,Horizon,Michigan,Big Ten,Non-Conference,0,3,3-0,3,18,25,Michigan,Michigan,FALSE
2019-08-30,Western Mich.,MAC,South Alabama,Sun Belt,Non-Conference,3,0,3-0,3,25,11,Western Mich.,Western Mich.,FALSE
2019-08-30,Central Ark.,Southland,Rider,MAAC,Non-Conference,3,2,3-2,5,15,25,Rider,Central Ark.,TRUE
2019-08-30,Idaho St.,Big Sky,Albany (NY),America East,Non-Conference,3,1,3-1,4,25,22,Idaho St.,Idaho St.,FALSE
2019-08-30,DePaul,Big East,Jacksonville,ASUN,Non-Conference,3,1,3-1,4,25,15,DePaul,DePaul,FALSE
2019-08-30,UT Arlington,Sun Belt,A&M-Corpus Christi,Southland,Non-Conference,3,2,3-2,5,7,25,A&M-Corpus Christi,UT Arlington,TRUE
2019-08-30,UTRGV,WAC,Radford,Big South,Non-Conference,0,3,3-0,3,23,25,Radford,Radford,FALSE
2019-08-30,Lipscomb,ASUN,High Point,Big South,Non-Conference,0,3,3-0,3,21,25,High Point,High Point,FALSE
2019-08-30,UTSA,C-USA,SFA,Southland,Non-Conference,1,3,3-1,4,20,25,SFA,SFA,FALSE
2019-08-30,Virginia Tech,ACC,USC Upstate,Big South,Non-Conference,3,1,3-1,4,25,11,Virginia Tech,Virginia Tech,FALSE
2019-08-30,Troy,Sun Belt,Southeastern La.,Southland,Non-Conference,3,0,3-0,3,25,14,Troy,Troy,FALSE
2019-08-30,New Mexico St.,WAC,Butler,Big East,Non-Conference,3,0,3-0,3,25,14,New Mexico St.,New Mexico St.,FALSE
2019-08-30,Texas Southern,SWAC,Florida A&M,MEAC,Non-Conference,0,3,3-0,3,16,25,Florida A&M,Florida A&M,FALSE
2019-08-30,Manhattan,MAAC,Robert Morris,NEC,Non-Conference,0,3,3-0,3,15,25,Robert Morris,Robert Morris,FALSE
2019-08-30,North Dakota,Summit League,New Orleans,Southland,Non-Conference,1,3,3-1,4,25,27,New Orleans,New Orleans,FALSE
2019-08-30,Navy,Patriot,Air Force,Mountain West,Non-Conference,3,0,3-0,3,25,21,Navy,Navy,FALSE
2019-08-30,Utah Valley,WAC,Marquette,Big East,Non-Conference,0,3,3-0,3,14,25,Marquette,Marquette,FALSE
2019-08-30,Little Rock,Sun Belt,Montana St.,Big Sky,Non-Conference,0,3,3-0,3,11,25,Montana St.,Montana St.,FALSE
2019-08-30,Tulane,AAC,UTEP,C-USA,Non-Conference,3,0,3-0,3,25,11,Tulane,Tulane,FALSE
2019-08-30,American,Patriot,George Washington,Atlantic 10,Non-Conference,3,1,3-1,4,25,23,American,American,FALSE
2019-08-30,Nicholls St.,Southland,Mercer,SoCon,Non-Conference,3,1,3-1,4,17,25,Mercer,Nicholls St.,TRUE
2019-08-30,Lehigh,Patriot,Ohio St.,Big Ten,Non-Conference,0,3,3-0,3,17,25,Ohio St.,Ohio St.,FALSE
2019-08-30,Kent St.,MAC,Eastern Ky.,OVC,Non-Conference,3,0,3-0,3,25,23,Kent St.,Kent St.,FALSE
2019-08-30,Tulsa,AAC,Pepperdine,WCC,Non-Conference,3,2,3-2,5,26,24,Tulsa,Tulsa,FALSE
2019-08-30,FIU,C-USA,Indiana,Big Ten,Non-Conference,1,3,3-1,4,26,24,FIU,Indiana,TRUE
2019-08-30,North Florida,ASUN,Charleston So.,Big South,Non-Conference,3,0,3-0,3,25,18,North Florida,North Florida,FALSE
2019-08-30,Rutgers,Big Ten,New Mexico,Mountain West,Non-Conference,0,3,3-0,3,17,25,New Mexico,New Mexico,FALSE
2019-08-30,UConn,AAC,Gonzaga,WCC,Non-Conference,0,3,3-0,3,16,25,Gonzaga,Gonzaga,FALSE
2019-08-30,UMES,MEAC,Central Mich.,MAC,Non-Conference,1,3,3-1,4,15,25,Central Mich.,Central Mich.,FALSE
2019-08-30,Cleveland St.,Horizon,Pittsburgh,ACC,Non-Conference,0,3,3-0,3,14,25,Pittsburgh,Pittsburgh,FALSE
2019-08-30,Stony Brook,America East,Iowa,Big Ten,Non-Conference,1,3,3-1,4,14,25,Iowa,Iowa,FALSE
2019-08-30,Austin Peay,OVC,NC State,ACC,Non-Conference,0,3,3-0,3,14,25,NC State,NC State,FALSE
2019-08-30,Chattanooga,SoCon,Mississippi St.,SEC,Non-Conference,1,3,3-1,4,18,25,Mississippi St.,Mississippi St.,FALSE
2019-08-30,Tennessee Tech,OVC,Northern Ariz.,Big Sky,Non-Conference,0,3,3-0,3,21,25,Northern Ariz.,Northern Ariz.,FALSE
2019-08-30,Grambling,SWAC,Fla. Atlantic,C-USA,Non-Conference,0,3,3-0,3,6,25,Fla. Atlantic,Fla. Atlantic,FALSE
2019-08-30,Lafayette,Patriot,UMBC,America East,Non-Conference,1,3,3-1,4,18,25,UMBC,UMBC,FALSE
2019-08-30,CSUN,Big West,Portland,WCC,Non-Conference,1,3,3-1,4,25,21,CSUN,Portland,TRUE
2019-08-30,Montana,Big Sky,UC Davis,Big West,Non-Conference,0,3,3-0,3,13,25,UC Davis,UC Davis,FALSE
2019-08-30,Campbell,Big South,Ga. Southern,Sun Belt,Non-Conference,0,3,3-0,3,11,25,Ga. Southern,Ga. Southern,FALSE
2019-08-30,Drake,MVC,Memphis,AAC,Non-Conference,1,3,3-1,4,25,18,Drake,Memphis,TRUE
2019-08-30,Fairleigh Dickinson,NEC,Northern Ill.,MAC,Non-Conference,1,3,3-1,4,21,25,Northern Ill.,Northern Ill.,FALSE
2019-08-30,Seton Hall,Big East,Morgan St.,MEAC,Non-Conference,2,3,3-2,5,18,25,Morgan St.,Morgan St.,FALSE
2019-08-30,Appalachian St.,Sun Belt,Arizona,Pac-12,Non-Conference,0,3,3-0,3,12,25,Arizona,Arizona,FALSE
2019-08-30,Northwestern St.,Southland,Arkansas,SEC,Non-Conference,0,3,3-0,3,18,25,Arkansas,Arkansas,FALSE
2019-08-30,CSU Bakersfield,WAC,Nevada,Mountain West,Non-Conference,1,3,3-1,4,25,21,CSU Bakersfield,Nevada,TRUE
2019-08-30,Morehead St.,OVC,Winthrop,Big South,Non-Conference,2,3,3-2,5,25,16,Morehead St.,Winthrop,TRUE
2019-08-30,Chicago St.,WAC,Colorado St.,Mountain West,Non-Conference,0,3,3-0,3,7,25,Colorado St.,Colorado St.,FALSE
2019-08-30,Liberty,ASUN,Texas St.,Sun Belt,Non-Conference,1,3,3-1,4,13,25,Texas St.,Texas St.,FALSE
2019-08-30,Tennessee St.,OVC,Auburn,SEC,Non-Conference,3,2,3-2,5,25,21,Tennessee St.,Tennessee St.,FALSE
2019-08-30,Kentucky,SEC,Cal Poly,Big West,Non-Conference,3,0,3-0,3,25,21,Kentucky,Kentucky,FALSE
2019-08-30,ETSU,SoCon,Jacksonville St.,OVC,Non-Conference,3,1,3-1,4,25,23,ETSU,ETSU,FALSE
2019-08-30,Arizona St.,Pac-12,Houston,AAC,Non-Conference,3,1,3-1,4,25,23,Arizona St.,Arizona St.,FALSE
2019-08-30,Abilene Christian,Southland,Omaha,Summit League,Non-Conference,0,3,3-0,3,23,25,Omaha,Omaha,FALSE
2019-08-30,Bradley,MVC,SMU,AAC,Non-Conference,0,3,3-0,3,23,25,SMU,SMU,FALSE
2019-08-30,Bethune-Cookman,MEAC,Houston Baptist,Southland,Non-Conference,0,3,3-0,3,16,25,Houston Baptist,Houston Baptist,FALSE
2019-08-30,South Fla.,AAC,UAB,C-USA,Non-Conference,3,1,3-1,4,21,25,UAB,South Fla.,TRUE
2019-08-30,Saint Mary's (CA),WCC,Utah,Pac-12,Non-Conference,0,3,3-0,3,20,25,Utah,Utah,FALSE
2019-08-30,Oregon St.,Pac-12,UC Irvine,Big West,Non-Conference,3,0,3-0,3,25,12,Oregon St.,Oregon St.,FALSE
2019-08-30,Boise St.,Mountain West,BYU,WCC,Non-Conference,0,3,3-0,3,13,25,BYU,BYU,FALSE
2019-08-30,Eastern Mich.,MAC,Utah St.,Mountain West,Non-Conference,3,2,3-2,5,13,25,Utah St.,Eastern Mich.,TRUE
2019-08-30,South Carolina St.,MEAC,Alabama St.,SWAC,Non-Conference,0,3,3-0,3,16,25,Alabama St.,Alabama St.,FALSE
2019-08-30,Ark.-Pine Bluff,SWAC,La.-Monroe,Sun Belt,Non-Conference,0,3,3-0,3,21,25,La.-Monroe,La.-Monroe,FALSE
2019-08-30,Southern Utah,Big Sky,Xavier,Big East,Non-Conference,3,0,3-0,3,28,26,Southern Utah,Southern Utah,FALSE
2019-08-30,Saint Francis (PA),NEC,Youngstown St.,Horizon,Non-Conference,0,3,3-0,3,17,25,Youngstown St.,Youngstown St.,FALSE
2019-08-30,UIW,Southland,Louisiana,Sun Belt,Non-Conference,3,0,3-0,3,25,23,UIW,UIW,FALSE
2019-08-30,Western Ky.,C-USA,Loyola Chicago,MVC,Non-Conference,3,2,3-2,5,25,23,Western Ky.,Western Ky.,FALSE
2019-08-30,Southern Ill.,MVC,Portland St.,Big Sky,Non-Conference,0,3,3-0,3,19,25,Portland St.,Portland St.,FALSE
2019-08-30,FIU,C-USA,Santa Clara,WCC,Non-Conference,0,3,3-0,3,14,25,Santa Clara,Santa Clara,FALSE
2019-08-30,California,Pac-12,Oklahoma,Big 12,Non-Conference,3,0,3-0,3,25,12,California,California,FALSE
2019-08-30,Rider,MAAC,Georgetown,Big East,Non-Conference,0,3,3-0,3,17,25,Georgetown,Georgetown,FALSE
2019-08-30,Wofford,SoCon,Kennesaw St.,ASUN,Non-Conference,0,3,3-0,3,21,25,Kennesaw St.,Kennesaw St.,FALSE
2019-08-30,McNeese,Southland,Elon,CAA,Non-Conference,3,2,3-2,5,25,13,McNeese,McNeese,FALSE
2019-08-30,Canisius,MAAC,Sacramento St.,Big Sky,Non-Conference,0,3,3-0,3,11,25,Sacramento St.,Sacramento St.,FALSE
2019-08-30,NJIT,ASUN,St. Francis Brooklyn,NEC,Non-Conference,1,3,3-1,4,26,28,St. Francis Brooklyn,St. Francis Brooklyn,FALSE
2019-08-30,Loyola Maryland,Patriot,Coastal Carolina,Sun Belt,Non-Conference,0,3,3-0,3,30,32,Coastal Carolina,Coastal Carolina,FALSE
2019-08-30,Wisconsin,Big Ten,Florida St.,ACC,Non-Conference,3,0,3-0,3,25,15,Wisconsin,Wisconsin,FALSE
2019-08-30,Eastern Wash.,Big Sky,Cal St. Fullerton,Big West,Non-Conference,0,3,3-0,3,14,25,Cal St. Fullerton,Cal St. Fullerton,FALSE
2019-08-30,Western Ill.,Summit League,Mississippi Val.,SWAC,Non-Conference,3,0,3-0,3,25,14,Western Ill.,Western Ill.,FALSE
2019-08-30,San Jose St.,Mountain West,Pacific,WCC,Non-Conference,1,3,3-1,4,24,26,Pacific,Pacific,FALSE
2019-08-30,Temple,AAC,Lafayette,Patriot,Non-Conference,3,0,3-0,3,25,16,Temple,Temple,FALSE
2019-08-30,Quinnipiac,MAAC,Towson,CAA,Non-Conference,0,3,3-0,3,20,25,Towson,Towson,FALSE
2019-08-30,UNC Asheville,Big South,Southern U.,SWAC,Non-Conference,3,0,3-0,3,25,23,UNC Asheville,UNC Asheville,FALSE
2019-08-30,UC Riverside,Big West,Fairleigh Dickinson,NEC,Non-Conference,3,1,3-1,4,25,13,UC Riverside,UC Riverside,FALSE
2019-08-30,South Dakota St.,Summit League,Memphis,AAC,Non-Conference,1,3,3-1,4,17,25,Memphis,Memphis,FALSE
2019-08-30,Iowa St.,Big 12,UCF,AAC,Non-Conference,2,3,3-2,5,15,25,UCF,UCF,FALSE
2019-08-30,N.C. A&T,MEAC,Morehead St.,OVC,Non-Conference,0,3,3-0,3,17,25,Morehead St.,Morehead St.,FALSE
2019-08-30,Ohio,MAC,Fresno St.,Mountain West,Non-Conference,1,3,3-1,4,15,25,Fresno St.,Fresno St.,FALSE
2019-08-30,Gardner-Webb,Big South,Eastern Ky.,OVC,Non-Conference,1,3,3-1,4,25,23,Gardner-Webb,Eastern Ky.,TRUE
2019-08-30,Wright St.,Horizon,Bowling Green,MAC,Non-Conference,1,3,3-1,4,16,25,Bowling Green,Bowling Green,FALSE
2019-08-30,Lamar University,Southland,Fordham,Atlantic 10,Non-Conference,2,3,3-2,5,32,30,Lamar University,Fordham,TRUE
2019-08-30,The Citadel,SoCon,Bucknell,Patriot,Non-Conference,1,3,3-1,4,16,25,Bucknell,Bucknell,FALSE
2019-08-30,Murray St.,OVC,Valparaiso,MVC,Non-Conference,1,3,3-1,4,20,25,Valparaiso,Valparaiso,FALSE
2019-08-30,Coppin St.,MEAC,Binghamton,America East,Non-Conference,3,0,3-0,3,25,23,Coppin St.,Coppin St.,FALSE
2019-08-30,Oral Roberts,Summit League,Louisiana Tech,C-USA,Non-Conference,2,3,3-2,5,26,24,Oral Roberts,Louisiana Tech,TRUE
2019-08-30,Michigan St.,Big Ten,Duke,ACC,Non-Conference,3,1,3-1,4,25,20,Michigan St.,Michigan St.,FALSE
2019-08-30,Northern Ky.,Horizon,South Alabama,Sun Belt,Non-Conference,3,1,3-1,4,25,19,Northern Ky.,Northern Ky.,FALSE
2019-08-30,Duquesne,Atlantic 10,Charleston So.,Big South,Non-Conference,3,1,3-1,4,25,17,Duquesne,Duquesne,FALSE
2019-08-30,Grambling,SWAC,Niagara,MAAC,Non-Conference,0,3,3-0,3,19,25,Niagara,Niagara,FALSE
2019-08-30,Campbell,Big South,Nicholls St.,Southland,Non-Conference,2,3,3-2,5,25,22,Campbell,Nicholls St.,TRUE
2019-08-30,Texas A&M,SEC,Dayton,Atlantic 10,Non-Conference,3,2,3-2,5,25,23,Texas A&M,Texas A&M,FALSE
2019-08-30,Jackson St.,SWAC,Delaware St.,MEAC,Non-Conference,3,1,3-1,4,20,25,Delaware St.,Jackson St.,TRUE
2019-08-30,UC Santa Barbara,Big West,LIU,NEC,Non-Conference,3,0,3-0,3,25,17,UC Santa Barbara,UC Santa Barbara,FALSE
2019-08-30,Northwestern,Big Ten,USC Upstate,Big South,Non-Conference,3,0,3-0,3,25,12,Northwestern,Northwestern,FALSE
2019-08-30,Presbyterian,Big South,Wake Forest,ACC,Non-Conference,0,3,3-0,3,15,25,Wake Forest,Wake Forest,FALSE
2019-08-30,American,Patriot,Howard,MEAC,Non-Conference,3,1,3-1,4,25,16,American,American,FALSE
2019-08-30,Tennessee Tech,OVC,Oakland,Horizon,Non-Conference,0,3,3-0,3,21,25,Oakland,Oakland,FALSE
2019-08-30,Central Conn. St.,NEC,Central Ark.,Southland,Non-Conference,2,3,3-2,5,25,21,Central Conn. St.,Central Ark.,TRUE
2019-08-30,UIW,Southland,Tulane,AAC,Non-Conference,0,3,3-0,3,21,25,Tulane,Tulane,FALSE
2019-08-30,Villanova,Big East,Lipscomb,ASUN,Non-Conference,3,0,3-0,3,25,22,Villanova,Villanova,FALSE
2019-08-30,Indiana St.,MVC,Northeastern,CAA,Non-Conference,1,3,3-1,4,21,25,Northeastern,Northeastern,FALSE
2019-08-30,Holy Cross,Patriot,Wichita St.,AAC,Non-Conference,0,3,3-0,3,19,25,Wichita St.,Wichita St.,FALSE
2019-08-30,Southern Miss.,C-USA,Seattle U,WAC,Non-Conference,1,3,3-1,4,20,25,Seattle U,Seattle U,FALSE
2019-08-30,Tulsa,AAC,Illinois St.,MVC,Non-Conference,1,3,3-1,4,25,19,Tulsa,Illinois St.,TRUE
2019-08-30,Southeastern La.,Southland,ETSU,SoCon,Non-Conference,0,3,3-0,3,23,25,ETSU,ETSU,FALSE
2019-08-30,Santa Clara,WCC,UT Martin,OVC,Non-Conference,3,2,3-2,5,23,25,UT Martin,Santa Clara,TRUE
2019-08-30,UMES,MEAC,Saint Peter's,MAAC,Non-Conference,3,0,3-0,3,25,8,UMES,UMES,FALSE
2019-08-30,UTRGV,WAC,Bethune-Cookman,MEAC,Non-Conference,3,1,3-1,4,25,12,UTRGV,UTRGV,FALSE
2019-08-30,UCLA,Pac-12,Baylor,Big 12,Non-Conference,0,3,3-0,3,20,25,Baylor,Baylor,FALSE
2019-08-30,VCU,Atlantic 10,Lehigh,Patriot,Non-Conference,3,0,3-0,3,25,19,VCU,VCU,FALSE
2019-08-30,UT Arlington,Sun Belt,LSU,SEC,Non-Conference,0,3,3-0,3,19,25,LSU,LSU,FALSE
2019-08-30,Albany (NY),America East,Abilene Christian,Southland,Non-Conference,3,1,3-1,4,23,25,Abilene Christian,Albany (NY),TRUE
2019-08-30,DePaul,Big East,Southeast Mo. St.,OVC,Non-Conference,3,2,3-2,5,24,26,Southeast Mo. St.,DePaul,TRUE
2019-08-30,Tennessee St.,OVC,Butler,Big East,Non-Conference,0,3,3-0,3,22,25,Butler,Butler,FALSE
2019-08-30,Alabama,SEC,Buffalo,MAC,Non-Conference,3,0,3-0,3,25,20,Alabama,Alabama,FALSE
2019-08-30,Ark.-Pine Bluff,SWAC,North Dakota,Summit League,Non-Conference,1,3,3-1,4,25,23,Ark.-Pine Bluff,North Dakota,TRUE
2019-08-30,SFA,Southland,Bradley,MVC,Non-Conference,3,0,3-0,3,25,17,SFA,SFA,FALSE
2019-08-30,Chattanooga,SoCon,Western Ill.,Summit League,Non-Conference,3,0,3-0,3,25,20,Chattanooga,Chattanooga,FALSE
2019-08-30,Norfolk St.,MEAC,Hampton,Big South,Non-Conference,0,3,3-0,3,23,25,Hampton,Hampton,FALSE
2019-08-30,Kent St.,MAC,Charlotte,C-USA,Non-Conference,1,3,3-1,4,24,26,Charlotte,Charlotte,FALSE
2019-08-30,N.C. Central,MEAC,UNC Greensboro,SoCon,Non-Conference,1,3,3-1,4,17,25,UNC Greensboro,UNC Greensboro,FALSE
2019-08-30,Georgia,SEC,Clemson,ACC,Non-Conference,0,3,3-0,3,21,25,Clemson,Clemson,FALSE
2019-08-30,Samford,SoCon,Appalachian St.,Sun Belt,Non-Conference,2,3,3-2,5,22,25,Appalachian St.,Appalachian St.,FALSE
2019-08-30,Minnesota,Big Ten,North Carolina,ACC,Non-Conference,3,0,3-0,3,25,16,Minnesota,Minnesota,FALSE
2019-08-30,Furman,SoCon,Virginia,ACC,Non-Conference,1,3,3-1,4,13,25,Virginia,Virginia,FALSE
2019-08-30,New Mexico,Mountain West,Grand Canyon,WAC,Non-Conference,2,3,3-2,5,25,20,New Mexico,Grand Canyon,TRUE
2019-08-30,UConn,AAC,Air Force,Mountain West,Non-Conference,3,1,3-1,4,18,25,Air Force,UConn,TRUE
2019-08-30,South Dakota,Summit League,IUPUI,Horizon,Non-Conference,3,1,3-1,4,20,25,IUPUI,South Dakota,TRUE
2019-08-30,San Diego St.,Mountain West,Bryant,NEC,Non-Conference,3,0,3-0,3,25,22,San Diego St.,San Diego St.,FALSE
2019-08-30,South Dakota St.,Summit League,Eastern Ill.,OVC,Non-Conference,3,1,3-1,4,18,25,Eastern Ill.,South Dakota St.,TRUE
2019-08-30,Sacred Heart,NEC,Georgetown,Big East,Non-Conference,2,3,3-2,5,25,23,Sacred Heart,Georgetown,TRUE
2019-08-30,Hofstra,CAA,Penn St.,Big Ten,Non-Conference,0,3,3-0,3,13,25,Penn St.,Penn St.,FALSE
2019-08-30,Navy,Patriot,Gonzaga,WCC,Non-Conference,1,3,3-1,4,20,25,Gonzaga,Gonzaga,FALSE
2019-08-30,Akron,MAC,FGCU,ASUN,Non-Conference,1,3,3-1,4,18,25,FGCU,FGCU,FALSE
2019-08-30,Long Beach St.,Big West,Georgia Tech,ACC,Non-Conference,1,3,3-1,4,23,25,Georgia Tech,Georgia Tech,FALSE
2019-08-30,Cincinnati,AAC,Pittsburgh,ACC,Non-Conference,0,3,3-0,3,18,25,Pittsburgh,Pittsburgh,FALSE
2019-08-30,Florida,SEC,Louisville,ACC,Non-Conference,3,0,3-0,3,25,17,Florida,Florida,FALSE
2019-08-30,Missouri,SEC,Miami (FL),ACC,Non-Conference,3,1,3-1,4,13,25,Miami (FL),Missouri,TRUE
2019-08-30,Virginia Tech,ACC,Miami (OH),MAC,Non-Conference,1,3,3-1,4,21,25,Miami (OH),Miami (OH),FALSE
2019-08-30,Western Caro.,SoCon,Georgia St.,Sun Belt,Non-Conference,3,1,3-1,4,27,25,Western Caro.,Western Caro.,FALSE
2019-08-30,Stetson,ASUN,Fla. Atlantic,C-USA,Non-Conference,1,3,3-1,4,25,20,Stetson,Fla. Atlantic,TRUE
2019-08-30,Cal Poly,Big West,Saint Mary's (CA),WCC,Non-Conference,0,3,3-0,3,13,25,Saint Mary's (CA),Saint Mary's (CA),FALSE
2019-08-30,South Fla.,AAC,Ball St.,MAC,Non-Conference,3,2,3-2,5,25,19,South Fla.,South Fla.,FALSE
2019-08-30,Milwaukee,Horizon,Belmont,OVC,Non-Conference,3,0,3-0,3,25,19,Milwaukee,Milwaukee,FALSE
2019-08-30,Western Mich.,MAC,Purdue Fort Wayne,Summit League,Non-Conference,3,2,3-2,5,25,19,Western Mich.,Western Mich.,FALSE
2019-08-30,Davidson,Atlantic 10,Winthrop,Big South,Non-Conference,2,3,3-2,5,18,25,Winthrop,Winthrop,FALSE
2019-08-30,Rutgers,Big Ten,Northern Colo.,Big Sky,Non-Conference,1,3,3-1,4,19,25,Northern Colo.,Northern Colo.,FALSE
2019-08-30,Ga. Southern,Sun Belt,Mercer,SoCon,Non-Conference,0,3,3-0,3,21,25,Mercer,Mercer,FALSE
2019-08-30,Elon,CAA,Robert Morris,NEC,Non-Conference,2,3,3-2,5,17,25,Robert Morris,Robert Morris,FALSE
2019-08-30,Bucknell,Patriot,Youngstown St.,Horizon,Non-Conference,1,3,3-1,4,21,25,Youngstown St.,Youngstown St.,FALSE
2019-08-30,William & Mary,CAA,Morgan St.,MEAC,Non-Conference,2,3,3-2,5,22,25,Morgan St.,Morgan St.,FALSE
2019-08-30,West Virginia,Big 12,Delaware,CAA,Non-Conference,3,1,3-1,4,25,23,West Virginia,West Virginia,FALSE
2019-08-30,Fairfield,MAAC,UMBC,America East,Non-Conference,3,2,3-2,5,22,25,UMBC,Fairfield,TRUE
2019-08-30,Kansas St.,Big 12,NC State,ACC,Non-Conference,1,3,3-1,4,25,23,Kansas St.,NC State,TRUE
2019-08-30,Montana St.,Big Sky,Northwestern St.,Southland,Non-Conference,2,3,3-2,5,22,25,Northwestern St.,Northwestern St.,FALSE
2019-08-30,Hartford,America East,George Washington,Atlantic 10,Non-Conference,0,3,3-0,3,17,25,George Washington,George Washington,FALSE
2019-08-30,Middle Tenn.,C-USA,Saint Louis,Atlantic 10,Non-Conference,1,3,3-1,4,22,25,Saint Louis,Saint Louis,FALSE
2019-08-30,Rice,C-USA,Ole Miss,SEC,Non-Conference,3,0,3-0,3,25,21,Rice,Rice,FALSE
2019-08-30,Stony Brook,America East,James Madison,CAA,Non-Conference,0,3,3-0,3,23,25,James Madison,James Madison,FALSE
2019-08-30,La Salle,Atlantic 10,Notre Dame,ACC,Non-Conference,1,3,3-1,4,19,25,Notre Dame,Notre Dame,FALSE
2019-08-30,North Florida,ASUN,UNCW,CAA,Non-Conference,1,3,3-1,4,16,25,UNCW,UNCW,FALSE
2019-08-30,Stanford,Pac-12,Col. of Charleston,CAA,Non-Conference,3,0,3-0,3,25,9,Stanford,Stanford,FALSE
2019-08-30,Marquette,Big East,Boise St.,Mountain West,Non-Conference,3,0,3-0,3,25,22,Marquette,Marquette,FALSE
2019-08-30,UTEP,C-USA,Louisiana,Sun Belt,Non-Conference,3,0,3-0,3,25,20,UTEP,UTEP,FALSE
2019-08-30,Pepperdine,WCC,North Texas,C-USA,Non-Conference,2,3,3-2,5,20,25,North Texas,North Texas,FALSE
2019-08-30,Northern Ariz.,Big Sky,Michigan,Big Ten,Non-Conference,2,3,3-2,5,18,25,Michigan,Michigan,FALSE
2019-08-30,Radford,Big South,Houston Baptist,Southland,Non-Conference,1,3,3-1,4,25,22,Radford,Houston Baptist,TRUE
2019-08-30,UIC,Horizon,Cal St. Fullerton,Big West,Non-Conference,3,2,3-2,5,27,29,Cal St. Fullerton,UIC,TRUE
2019-08-30,Prairie View,SWAC,Sam Houston St.,Southland,Non-Conference,2,3,3-2,5,11,25,Sam Houston St.,Sam Houston St.,FALSE
2019-08-30,Kansas,Big 12,Kansas City,WAC,Non-Conference,3,2,3-2,5,13,25,Kansas City,Kansas,TRUE
2019-08-30,SIUE,OVC,Northern Ill.,MAC,Non-Conference,3,1,3-1,4,26,24,SIUE,SIUE,FALSE
2019-08-30,San Francisco,WCC,Denver,Summit League,Non-Conference,1,3,3-1,4,14,25,Denver,Denver,FALSE
2019-08-30,Troy,Sun Belt,Jacksonville St.,OVC,Non-Conference,3,1,3-1,4,23,25,Jacksonville St.,Troy,TRUE
2019-08-30,Texas Tech,Big 12,Ohio St.,Big Ten,Non-Conference,3,2,3-2,5,21,25,Ohio St.,Texas Tech,TRUE
2019-08-30,La.-Monroe,Sun Belt,New Orleans,Southland,Non-Conference,3,1,3-1,4,25,19,La.-Monroe,La.-Monroe,FALSE
2019-08-30,Canisius,MAAC,Nevada,Mountain West,Non-Conference,3,2,3-2,5,23,25,Nevada,Canisius,TRUE
2019-08-30,South Carolina St.,MEAC,Alabama A&M,SWAC,Non-Conference,0,3,3-0,3,12,25,Alabama A&M,Alabama A&M,FALSE
