league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
Italian Women A2,2023-2024,6/1/2024 ,Tecnoteam Albese Volley Como,Cda Volley Talmassons Fvg,3,0,3-0,3,Tecnoteam Albese Volley Como,Tecnoteam Albese Volley Como,Cda Volley Talmassons Fvg,FALSE
Italian Women A2,2023-2024,7/1/2024 ,Città Di Messina,Valsabbina Millenium Brescia,3,2,3-2,5,Città Di Messina,Città Di Messina,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,7/1/2024 ,Nuvolì Altafratte Padova,Volley Soverato,3,1,3-1,4,Nuvolì Altafratte Padova,Nuvolì Altafratte Padova,Volley Soverato,FALSE
Italian Women A2,2023-2024,8/1/2024 ,Sirdeco Volley Pescara,Vtb Fcredil Bologna,1,3,1-3,4,Vtb Fcredil Bologna,Sirdeco Volley Pescara,Vtb Fcredil Bologna,TRUE
Italian Women A2,2023-2024,13/1/2024 ,Bartoccini-Fortinfissi Perugia,Città Di Messina,3,0,3-0,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Città Di Messina,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Vtb Fcredil Bologna,Valsabbina Millenium Brescia,3,0,3-0,3,Vtb Fcredil Bologna,Vtb Fcredil Bologna,Valsabbina Millenium Brescia,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Futura Giovani Busto Arsizio,Volley Soverato,3,0,3-0,3,Futura Giovani Busto Arsizio,Futura Giovani Busto Arsizio,Volley Soverato,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Nuvolì Altafratte Padova,Tecnoteam Albese Volley Como,0,3,0-3,3,Tecnoteam Albese Volley Como,Tecnoteam Albese Volley Como,Nuvolì Altafratte Padova,FALSE
Italian Women A2,2023-2024,14/1/2024 ,Cda Volley Talmassons Fvg,Sirdeco Volley Pescara,3,0,3-0,3,Cda Volley Talmassons Fvg,Cda Volley Talmassons Fvg,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Tecnoteam Albese Volley Como,Bartoccini-Fortinfissi Perugia,0,3,0-3,3,Bartoccini-Fortinfissi Perugia,Bartoccini-Fortinfissi Perugia,Tecnoteam Albese Volley Como,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Valsabbina Millenium Brescia,Cda Volley Talmassons Fvg,3,0,3-0,3,Valsabbina Millenium Brescia,Valsabbina Millenium Brescia,Cda Volley Talmassons Fvg,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Città Di Messina,Futura Giovani Busto Arsizio,3,2,3-2,5,Città Di Messina,Futura Giovani Busto Arsizio,Città Di Messina,TRUE
Italian Women A2,2023-2024,21/1/2024 ,Volley Soverato,Vtb Fcredil Bologna,3,1,3-1,4,Volley Soverato,Volley Soverato,Vtb Fcredil Bologna,FALSE
Italian Women A2,2023-2024,21/1/2024 ,Sirdeco Volley Pescara,Nuvolì Altafratte Padova,1,3,1-3,4,Nuvolì Altafratte Padova,Nuvolì Altafratte Padova,Sirdeco Volley Pescara,FALSE
Italian Women A2,2023-2024,8/10/2023 ,Volley Hermaea Olbia,Lpm Bam Mondovì,2,3,2-3,5,Lpm Bam Mondovì,Volley Hermaea Olbia,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,8/10/2023 ,Cbf Balducci Hr Macerata,Ipag S.Lle Ramonda Montecchio,1,3,1-3,4,Ipag S.Lle Ramonda Montecchio,Cbf Balducci Hr Macerata,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,8/10/2023 ,Orocash Picco Lecco,Pallavolo C.B.L. Costa Volpino,2,3,2-3,5,Pallavolo C.B.L. Costa Volpino,Orocash Picco Lecco,Pallavolo C.B.L. Costa Volpino,TRUE
Italian Women A2,2023-2024,8/10/2023 ,Trasporti Bressan Offanengo,Omag-Mt San Giovanni In M.No,1,3,1-3,4,Omag-Mt San Giovanni In M.No,Trasporti Bressan Offanengo,Omag-Mt San Giovanni In M.No,TRUE
Italian Women A2,2023-2024,9/10/2023 ,Narconon Volley Melendugno,Cremonaufficio Esperia Cremona,1,3,1-3,4,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Narconon Volley Melendugno,FALSE
Italian Women A2,2023-2024,15/10/2023 ,Omag-Mt San Giovanni In M.No,Volley Hermaea Olbia,3,0,3-0,3,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,15/10/2023 ,Ipag S.Lle Ramonda Montecchio,Orocash Picco Lecco,3,2,3-2,5,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,15/10/2023 ,Lpm Bam Mondovì,Narconon Volley Melendugno,3,1,3-1,4,Lpm Bam Mondovì,Narconon Volley Melendugno,Lpm Bam Mondovì,TRUE
Italian Women A2,2023-2024,15/10/2023 ,Cremonaufficio Esperia Cremona,Cbf Balducci Hr Macerata,2,3,2-3,5,Cbf Balducci Hr Macerata,Cremonaufficio Esperia Cremona,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,15/10/2023 ,Pallavolo C.B.L. Costa Volpino,Trasporti Bressan Offanengo,3,2,3-2,5,Pallavolo C.B.L. Costa Volpino,Trasporti Bressan Offanengo,Pallavolo C.B.L. Costa Volpino,TRUE
Italian Women A2,2023-2024,21/10/2023 ,Narconon Volley Melendugno,Pallavolo C.B.L. Costa Volpino,3,1,3-1,4,Narconon Volley Melendugno,Pallavolo C.B.L. Costa Volpino,Narconon Volley Melendugno,TRUE
Italian Women A2,2023-2024,22/10/2023 ,Cbf Balducci Hr Macerata,Lpm Bam Mondovì,3,2,3-2,5,Cbf Balducci Hr Macerata,Lpm Bam Mondovì,Cbf Balducci Hr Macerata,TRUE
Italian Women A2,2023-2024,22/10/2023 ,Ipag S.Lle Ramonda Montecchio,Omag-Mt San Giovanni In M.No,3,2,3-2,5,Ipag S.Lle Ramonda Montecchio,Ipag S.Lle Ramonda Montecchio,Omag-Mt San Giovanni In M.No,FALSE
Italian Women A2,2023-2024,22/10/2023 ,Volley Hermaea Olbia,Cremonaufficio Esperia Cremona,0,3,0-3,3,Cremonaufficio Esperia Cremona,Cremonaufficio Esperia Cremona,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,22/10/2023 ,Trasporti Bressan Offanengo,Orocash Picco Lecco,3,0,3-0,3,Trasporti Bressan Offanengo,Trasporti Bressan Offanengo,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,29/10/2023 ,Lpm Bam Mondovì,Ipag S.Lle Ramonda Montecchio,1,3,1-3,4,Ipag S.Lle Ramonda Montecchio,Lpm Bam Mondovì,Ipag S.Lle Ramonda Montecchio,TRUE
Italian Women A2,2023-2024,29/10/2023 ,Cremonaufficio Esperia Cremona,Omag-Mt San Giovanni In M.No,1,3,1-3,4,Omag-Mt San Giovanni In M.No,Cremonaufficio Esperia Cremona,Omag-Mt San Giovanni In M.No,TRUE
Italian Women A2,2023-2024,29/10/2023 ,Orocash Picco Lecco,Narconon Volley Melendugno,3,1,3-1,4,Orocash Picco Lecco,Narconon Volley Melendugno,Orocash Picco Lecco,TRUE
Italian Women A2,2023-2024,29/10/2023 ,Trasporti Bressan Offanengo,Cbf Balducci Hr Macerata,1,3,1-3,4,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Trasporti Bressan Offanengo,FALSE
Italian Women A2,2023-2024,29/10/2023 ,Pallavolo C.B.L. Costa Volpino,Volley Hermaea Olbia,3,0,3-0,3,Pallavolo C.B.L. Costa Volpino,Pallavolo C.B.L. Costa Volpino,Volley Hermaea Olbia,FALSE
Italian Women A2,2023-2024,1/11/2023 ,Cbf Balducci Hr Macerata,Orocash Picco Lecco,3,0,3-0,3,Cbf Balducci Hr Macerata,Cbf Balducci Hr Macerata,Orocash Picco Lecco,FALSE
Italian Women A2,2023-2024,1/11/2023 ,Omag-Mt San Giovanni In M.No,Narconon Volley Melendugno,3,1,3-1,4,Omag-Mt San Giovanni In M.No,Omag-Mt San Giovanni In M.No,Narconon Volley Melendugno,FALSE
