league,season,date,team1,team2,team1_sets,team2_sets,final_score,sets_played,match_winner,set1_winner,set1_loser,comeback_win
VNL Women,2024,2024/5/14,Bulgaria,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Bulgaria,FALSE
VNL Women,2024,2024/5/14,Italy,Poland,0,3,0-3,3,Poland,Poland,Italy,FALSE
VNL Women,2024,2024/5/14,China,Korea,3,0,3-0,3,China,China,Korea,FALSE
VNL Women,2024,2024/5/15,Brazil,Canada,3,1,3-1,4,Brazil,Brazil,Canada,FALSE
VNL Women,2024,2024/5/15,France,Germany,0,3,0-3,3,Germany,Germany,France,FALSE
VNL Women,2024,2024/5/15,Japan,Türkiye,3,2,3-2,5,Japan,Japan,Türkiye,FALSE
VNL Women,2024,2024/5/15,Thailand,USA,1,3,1-3,4,USA,USA,Thailand,FALSE
VNL Women,2024,2024/5/16,Dominican Republic,Serbia,3,1,3-1,4,Dominican Republic,Dominican Republic,Serbia,FALSE
VNL Women,2024,2024/5/16,Germany,Italy,1,3,1-3,4,Italy,Italy,Germany,FALSE
VNL Women,2024,2024/5/16,Bulgaria,Japan,0,3,0-3,3,Japan,Japan,Bulgaria,FALSE
VNL Women,2024,2024/5/16,Netherlands,Türkiye,1,3,1-3,4,Türkiye,Türkiye,Netherlands,FALSE
VNL Women,2024,2024/5/16,Brazil,Korea,3,0,3-0,3,Brazil,Brazil,Korea,FALSE
VNL Women,2024,2024/5/16,China,USA,3,1,3-1,4,China,USA,China,TRUE
VNL Women,2024,2024/5/17,Canada,Dominican Republic,3,0,3-0,3,Canada,Canada,Dominican Republic,FALSE
VNL Women,2024,2024/5/17,Germany,Japan,0,3,0-3,3,Japan,Japan,Germany,FALSE
VNL Women,2024,2024/5/17,France,Poland,0,3,0-3,3,Poland,Poland,France,FALSE
VNL Women,2024,2024/5/17,Bulgaria,Italy,0,3,0-3,3,Italy,Italy,Bulgaria,FALSE
VNL Women,2024,2024/5/17,Serbia,Thailand,3,0,3-0,3,Serbia,Serbia,Thailand,FALSE
VNL Women,2024,2024/5/17,Canada,China,3,1,3-1,4,Canada,Canada,China,FALSE
VNL Women,2024,2024/5/18,Brazil,USA,3,1,3-1,4,Brazil,Brazil,USA,FALSE
VNL Women,2024,2024/5/18,Netherlands,Poland,0,3,0-3,3,Poland,Poland,Netherlands,FALSE
VNL Women,2024,2024/5/18,Bulgaria,France,1,3,1-3,4,France,Bulgaria,France,TRUE
VNL Women,2024,2024/5/18,Italy,Türkiye,3,1,3-1,4,Italy,Türkiye,Italy,TRUE
VNL Women,2024,2024/5/18,China,Serbia,3,1,3-1,4,China,Serbia,China,TRUE
VNL Women,2024,2024/5/18,Dominican Republic,Korea,3,0,3-0,3,Dominican Republic,Dominican Republic,Korea,FALSE
VNL Women,2024,2024/5/19,Canada,Thailand,3,1,3-1,4,Canada,Canada,Thailand,FALSE
VNL Women,2024,2024/5/19,Germany,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Germany,FALSE
VNL Women,2024,2024/5/19,Brazil,Serbia,3,0,3-0,3,Brazil,Brazil,Serbia,FALSE
VNL Women,2024,2024/5/19,Japan,Poland,0,3,0-3,3,Poland,Poland,Japan,FALSE
VNL Women,2024,2024/5/19,France,Türkiye,0,3,0-3,3,Türkiye,Türkiye,France,FALSE
VNL Women,2024,2024/5/19,Dominican Republic,USA,0,3,0-3,3,USA,USA,Dominican Republic,FALSE
VNL Women,2024,2024/5/19,Korea,Thailand,3,1,3-1,4,Korea,Korea,Thailand,FALSE
VNL Women,2024,2024/5/28,Dominican Republic,Thailand,1,3,1-3,4,Thailand,Thailand,Dominican Republic,FALSE
VNL Women,2024,2024/5/28,Brazil,Japan,3,2,3-2,5,Brazil,Japan,Brazil,TRUE
VNL Women,2024,2024/5/28,Poland,Serbia,3,1,3-1,4,Poland,Poland,Serbia,FALSE
VNL Women,2024,2024/5/29,Canada,USA,1,3,1-3,4,USA,USA,Canada,FALSE
VNL Women,2024,2024/5/29,France,Italy,0,3,0-3,3,Italy,Italy,France,FALSE
VNL Women,2024,2024/5/29,China,Netherlands,3,1,3-1,4,China,Netherlands,China,TRUE
VNL Women,2024,2024/5/29,Bulgaria,Korea,3,2,3-2,5,Bulgaria,Bulgaria,Korea,FALSE
VNL Women,2024,2024/5/29,Germany,Türkiye,1,3,1-3,4,Türkiye,Germany,Türkiye,TRUE
VNL Women,2024,2024/5/30,Dominican Republic,Italy,0,3,0-3,3,Italy,Italy,Dominican Republic,FALSE
VNL Women,2024,2024/5/30,France,Japan,0,3,0-3,3,Japan,Japan,France,FALSE
VNL Women,2024,2024/5/30,Brazil,Netherlands,3,1,3-1,4,Brazil,Brazil,Netherlands,FALSE
VNL Women,2024,2024/5/30,Korea,Poland,0,3,0-3,3,Poland,Poland,Korea,FALSE
VNL Women,2024,2024/5/30,Canada,Germany,3,0,3-0,3,Canada,Canada,Germany,FALSE
VNL Women,2024,2024/5/31,Serbia,Türkiye,1,3,1-3,4,Türkiye,Türkiye,Serbia,FALSE
VNL Women,2024,2024/5/31,France,Thailand,2,3,2-3,5,Thailand,Thailand,France,FALSE
VNL Women,2024,2024/5/31,Dominican Republic,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Dominican Republic,FALSE
VNL Women,2024,2024/5/31,China,Japan,1,3,1-3,4,Japan,Japan,China,FALSE
VNL Women,2024,2024/5/31,Germany,Poland,0,3,0-3,3,Poland,Poland,Germany,FALSE
VNL Women,2024,2024/5/31,Canada,Serbia,1,3,1-3,4,Serbia,Serbia,Canada,FALSE
VNL Women,2024,2024/6/1,Bulgaria,USA,0,3,0-3,3,USA,USA,Bulgaria,FALSE
VNL Women,2024,2024/6/1,Brazil,Italy,3,2,3-2,5,Brazil,Brazil,Italy,FALSE
VNL Women,2024,2024/6/1,Dominican Republic,Japan,1,3,1-3,4,Japan,Japan,Dominican Republic,FALSE
VNL Women,2024,2024/6/1,China,Thailand,3,0,3-0,3,China,China,Thailand,FALSE
VNL Women,2024,2024/6/1,Korea,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Korea,FALSE
VNL Women,2024,2024/6/1,Poland,USA,3,1,3-1,4,Poland,Poland,USA,FALSE
VNL Women,2024,2024/6/2,Bulgaria,Serbia,1,3,1-3,4,Serbia,Bulgaria,Serbia,TRUE
VNL Women,2024,2024/6/2,France,Netherlands,0,3,0-3,3,Netherlands,Netherlands,France,FALSE
VNL Women,2024,2024/6/2,Brazil,Thailand,3,0,3-0,3,Brazil,Brazil,Thailand,FALSE
VNL Women,2024,2024/6/2,China,Italy,0,3,0-3,3,Italy,Italy,China,FALSE
VNL Women,2024,2024/6/2,Canada,Korea,3,0,3-0,3,Canada,Canada,Korea,FALSE
VNL Women,2024,2024/6/2,Türkiye,USA,3,2,3-2,5,Türkiye,USA,Türkiye,TRUE
VNL Women,2024,2024/6/2,Bulgaria,Germany,1,3,1-3,4,Germany,Germany,Bulgaria,FALSE
VNL Women,2024,2024/6/11,France,USA,0,3,0-3,3,USA,USA,France,FALSE
VNL Women,2024,2024/6/11,Canada,Italy,0,3,0-3,3,Italy,Italy,Canada,FALSE
VNL Women,2024,2024/6/11,Dominican Republic,Germany,3,1,3-1,4,Dominican Republic,Dominican Republic,Germany,FALSE
VNL Women,2024,2024/6/11,Bulgaria,China,0,3,0-3,3,China,China,Bulgaria,FALSE
VNL Women,2024,2024/6/12,Netherlands,Serbia,3,1,3-1,4,Netherlands,Netherlands,Serbia,FALSE
VNL Women,2024,2024/6/12,Japan,Korea,3,0,3-0,3,Japan,Japan,Korea,FALSE
VNL Women,2024,2024/6/12,Thailand,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Thailand,FALSE
VNL Women,2024,2024/6/12,Brazil,Poland,3,1,3-1,4,Brazil,Poland,Brazil,TRUE
VNL Women,2024,2024/6/13,Netherlands,USA,0,3,0-3,3,USA,USA,Netherlands,FALSE
VNL Women,2024,2024/6/13,France,Korea,2,3,2-3,5,Korea,Korea,France,FALSE
VNL Women,2024,2024/6/13,Canada,Japan,3,2,3-2,5,Canada,Japan,Canada,TRUE
VNL Women,2024,2024/6/13,Bulgaria,Thailand,2,3,2-3,5,Thailand,Thailand,Bulgaria,FALSE
VNL Women,2024,2024/6/13,Brazil,Germany,3,1,3-1,4,Brazil,Brazil,Germany,FALSE
VNL Women,2024,2024/6/13,Dominican Republic,Türkiye,1,3,1-3,4,Türkiye,Dominican Republic,Türkiye,TRUE
VNL Women,2024,2024/6/14,France,Serbia,3,1,3-1,4,France,France,Serbia,FALSE
VNL Women,2024,2024/6/14,Canada,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Canada,FALSE
VNL Women,2024,2024/6/14,Italy,Korea,3,0,3-0,3,Italy,Italy,Korea,FALSE
VNL Women,2024,2024/6/14,Brazil,Bulgaria,3,0,3-0,3,Brazil,Brazil,Bulgaria,FALSE
VNL Women,2024,2024/6/14,Dominican Republic,Poland,0,3,0-3,3,Poland,Poland,Dominican Republic,FALSE
VNL Women,2024,2024/6/14,China,Germany,3,0,3-0,3,China,China,Germany,FALSE
VNL Women,2024,2024/6/15,Canada,France,3,0,3-0,3,Canada,Canada,France,FALSE
VNL Women,2024,2024/6/15,Italy,USA,3,1,3-1,4,Italy,Italy,USA,FALSE
VNL Women,2024,2024/6/15,Japan,Serbia,3,0,3-0,3,Japan,Japan,Serbia,FALSE
VNL Women,2024,2024/6/15,Bulgaria,Dominican Republic,3,2,3-2,5,Bulgaria,Dominican Republic,Bulgaria,TRUE
VNL Women,2024,2024/6/15,Poland,Thailand,3,0,3-0,3,Poland,Poland,Thailand,FALSE
VNL Women,2024,2024/6/15,China,Türkiye,3,2,3-2,5,China,Türkiye,China,TRUE
VNL Women,2024,2024/6/16,Korea,Netherlands,0,3,0-3,3,Netherlands,Netherlands,Korea,FALSE
VNL Women,2024,2024/6/16,Italy,Serbia,3,1,3-1,4,Italy,Italy,Serbia,FALSE
VNL Women,2024,2024/6/16,Japan,USA,0,3,0-3,3,USA,USA,Japan,FALSE
VNL Women,2024,2024/6/16,Germany,Thailand,3,0,3-0,3,Germany,Germany,Thailand,FALSE
VNL Women,2024,2024/6/16,Brazil,Türkiye,3,0,3-0,3,Brazil,Brazil,Türkiye,FALSE
VNL Women,2024,2024/6/16,China,Poland,3,0,3-0,3,China,China,Poland,FALSE
VNL Women,2024,2024/6/20,China,Japan,0,3,0-3,3,Japan,Japan,China,FALSE
VNL Women,2024,2024/6/20,Brazil,Thailand,3,0,3-0,3,Brazil,Brazil,Thailand,FALSE
VNL Women,2024,2024/6/21,Italy,USA,3,0,3-0,3,Italy,Italy,USA,FALSE
VNL Women,2024,2024/6/21,Poland,Türkiye,3,2,3-2,5,Poland,Türkiye,Poland,TRUE
VNL Women,2024,2024/6/22,Italy,Poland,3,0,3-0,3,Italy,Italy,Poland,FALSE
VNL Women,2024,2024/6/22,Brazil,Japan,2,3,2-3,5,Japan,Japan,Brazil,FALSE
VNL Women,2024,2024/6/23,Brazil,Poland,2,3,2-3,5,Poland,Poland,Brazil,FALSE
VNL Women,2024,2024/6/23,Italy,Japan,3,1,3-1,4,Italy,Italy,Japan,FALSE
VNL Men,2024,2024/5/21,Bulgaria,France,0,3,0-3,3,France,France,Bulgaria,FALSE
VNL Men,2024,2024/5/21,Canada,Türkiye,3,1,3-1,4,Canada,Türkiye,Canada,TRUE
VNL Men,2024,2024/5/21,Argentina,Japan,1,3,1-3,4,Japan,Argentina,Japan,TRUE
VNL Men,2024,2024/5/22,Brazil,Cuba,1,3,1-3,4,Cuba,Cuba,Brazil,FALSE
VNL Men,2024,2024/5/22,Netherlands,Slovenia,2,3,2-3,5,Slovenia,Netherlands,Slovenia,TRUE
VNL Men,2024,2024/5/22,Poland,USA,3,0,3-0,3,Poland,Poland,USA,FALSE
VNL Men,2024,2024/5/22,Germany,Italy,0,3,0-3,3,Italy,Italy,Germany,FALSE
VNL Men,2024,2024/5/23,Iran,Serbia,1,3,1-3,4,Serbia,Serbia,Iran,FALSE
VNL Men,2024,2024/5/23,France,Slovenia,1,3,1-3,4,Slovenia,Slovenia,France,FALSE
VNL Men,2024,2024/5/23,Canada,Poland,1,3,1-3,4,Poland,Canada,Poland,TRUE
VNL Men,2024,2024/5/23,Netherlands,Türkiye,3,2,3-2,5,Netherlands,Türkiye,Netherlands,TRUE
VNL Men,2024,2024/5/23,Cuba,Germany,3,1,3-1,4,Cuba,Cuba,Germany,FALSE
VNL Men,2024,2024/5/23,Japan,Serbia,3,0,3-0,3,Japan,Japan,Serbia,FALSE
VNL Men,2024,2024/5/24,Argentina,Brazil,2,3,2-3,5,Brazil,Brazil,Argentina,FALSE
VNL Men,2024,2024/5/24,Bulgaria,Canada,0,3,0-3,3,Canada,Canada,Bulgaria,FALSE
VNL Men,2024,2024/5/24,France,USA,3,0,3-0,3,France,France,USA,FALSE
VNL Men,2024,2024/5/24,Netherlands,Poland,0,3,0-3,3,Poland,Poland,Netherlands,FALSE
VNL Men,2024,2024/5/24,Cuba,Japan,2,3,2-3,5,Japan,Cuba,Japan,TRUE
VNL Men,2024,2024/5/24,Iran,Italy,0,3,0-3,3,Italy,Italy,Iran,FALSE
VNL Men,2024,2024/5/25,Brazil,Serbia,3,1,3-1,4,Brazil,Brazil,Serbia,FALSE
VNL Men,2024,2024/5/25,Canada,Slovenia,2,3,2-3,5,Slovenia,Canada,Slovenia,TRUE
VNL Men,2024,2024/5/25,France,Türkiye,3,1,3-1,4,France,Türkiye,France,TRUE
VNL Men,2024,2024/5/25,Bulgaria,USA,3,1,3-1,4,Bulgaria,Bulgaria,USA,FALSE
VNL Men,2024,2024/5/25,Italy,Japan,3,1,3-1,4,Italy,Japan,Italy,TRUE
VNL Men,2024,2024/5/25,Argentina,Germany,3,1,3-1,4,Argentina,Germany,Argentina,TRUE
VNL Men,2024,2024/5/26,Cuba,Iran,3,1,3-1,4,Cuba,Cuba,Iran,FALSE
VNL Men,2024,2024/5/26,Poland,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Poland,FALSE
VNL Men,2024,2024/5/26,Brazil,Italy,2,3,2-3,5,Italy,Brazil,Italy,TRUE
VNL Men,2024,2024/5/26,Türkiye,USA,1,3,1-3,4,USA,Türkiye,USA,TRUE
VNL Men,2024,2024/5/26,Bulgaria,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Bulgaria,FALSE
VNL Men,2024,2024/5/26,Germany,Serbia,3,0,3-0,3,Germany,Germany,Serbia,FALSE
VNL Men,2024,2024/5/26,Argentina,Iran,3,2,3-2,5,Argentina,Iran,Argentina,TRUE
VNL Men,2024,2024/6/4,Brazil,Germany,3,0,3-0,3,Brazil,Brazil,Germany,FALSE
VNL Men,2024,2024/6/4,Bulgaria,Poland,1,3,1-3,4,Poland,Bulgaria,Poland,TRUE
VNL Men,2024,2024/6/4,Iran,Japan,0,3,0-3,3,Japan,Japan,Iran,FALSE
VNL Men,2024,2024/6/4,Argentina,USA,0,3,0-3,3,USA,USA,Argentina,FALSE
VNL Men,2024,2024/6/5,Canada,Cuba,3,1,3-1,4,Canada,Canada,Cuba,FALSE
VNL Men,2024,2024/6/5,Slovenia,Türkiye,3,0,3-0,3,Slovenia,Slovenia,Türkiye,FALSE
VNL Men,2024,2024/6/5,Germany,Japan,2,3,2-3,5,Japan,Japan,Germany,FALSE
VNL Men,2024,2024/6/5,Netherlands,Serbia,0,3,0-3,3,Serbia,Serbia,Netherlands,FALSE
VNL Men,2024,2024/6/6,France,Italy,3,2,3-2,5,France,France,Italy,FALSE
VNL Men,2024,2024/6/6,Brazil,Iran,3,1,3-1,4,Brazil,Brazil,Iran,FALSE
VNL Men,2024,2024/6/6,Bulgaria,Germany,1,3,1-3,4,Germany,Germany,Bulgaria,FALSE
VNL Men,2024,2024/6/6,Poland,Türkiye,3,0,3-0,3,Poland,Poland,Türkiye,FALSE
VNL Men,2024,2024/6/6,Cuba,Netherlands,1,3,1-3,4,Netherlands,Netherlands,Cuba,FALSE
VNL Men,2024,2024/6/6,Italy,USA,3,0,3-0,3,Italy,Italy,USA,FALSE
VNL Men,2024,2024/6/7,Argentina,Canada,3,1,3-1,4,Argentina,Argentina,Canada,FALSE
VNL Men,2024,2024/6/7,Bulgaria,Iran,3,2,3-2,5,Bulgaria,Iran,Bulgaria,TRUE
VNL Men,2024,2024/6/7,Brazil,Slovenia,2,3,2-3,5,Slovenia,Slovenia,Brazil,FALSE
VNL Men,2024,2024/6/7,Japan,Poland,0,3,0-3,3,Poland,Poland,Japan,FALSE
VNL Men,2024,2024/6/7,Cuba,Italy,1,3,1-3,4,Italy,Italy,Cuba,FALSE
VNL Men,2024,2024/6/7,France,Netherlands,3,1,3-1,4,France,France,Netherlands,FALSE
VNL Men,2024,2024/6/8,Serbia,USA,1,3,1-3,4,USA,Serbia,USA,TRUE
VNL Men,2024,2024/6/8,Iran,Türkiye,1,3,1-3,4,Türkiye,Iran,Türkiye,TRUE
VNL Men,2024,2024/6/8,Brazil,Poland,3,1,3-1,4,Brazil,Brazil,Poland,FALSE
VNL Men,2024,2024/6/8,Japan,Slovenia,3,1,3-1,4,Japan,Japan,Slovenia,FALSE
VNL Men,2024,2024/6/8,Cuba,France,3,2,3-2,5,Cuba,Cuba,France,FALSE
VNL Men,2024,2024/6/8,Canada,USA,3,1,3-1,4,Canada,Canada,USA,FALSE
VNL Men,2024,2024/6/9,Argentina,Serbia,3,2,3-2,5,Argentina,Argentina,Serbia,FALSE
VNL Men,2024,2024/6/9,Germany,Türkiye,3,2,3-2,5,Germany,Germany,Türkiye,FALSE
VNL Men,2024,2024/6/9,Bulgaria,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Bulgaria,FALSE
VNL Men,2024,2024/6/9,Italy,Netherlands,3,0,3-0,3,Italy,Italy,Netherlands,FALSE
VNL Men,2024,2024/6/9,Argentina,France,2,3,2-3,5,France,France,Argentina,FALSE
VNL Men,2024,2024/6/9,Canada,Serbia,1,3,1-3,4,Serbia,Canada,Serbia,TRUE
VNL Men,2024,2024/6/18,Brazil,Netherlands,3,1,3-1,4,Brazil,Netherlands,Brazil,TRUE
VNL Men,2024,2024/6/18,Canada,Japan,3,2,3-2,5,Canada,Canada,Japan,FALSE
VNL Men,2024,2024/6/18,Bulgaria,Türkiye,3,1,3-1,4,Bulgaria,Bulgaria,Türkiye,FALSE
VNL Men,2024,2024/6/18,Argentina,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Argentina,FALSE
VNL Men,2024,2024/6/19,France,Germany,1,3,1-3,4,Germany,Germany,France,FALSE
VNL Men,2024,2024/6/19,Iran,USA,3,2,3-2,5,Iran,USA,Iran,TRUE
VNL Men,2024,2024/6/19,Cuba,Serbia,2,3,2-3,5,Serbia,Cuba,Serbia,TRUE
VNL Men,2024,2024/6/19,Italy,Poland,0,3,0-3,3,Poland,Poland,Italy,FALSE
VNL Men,2024,2024/6/20,Canada,Germany,3,0,3-0,3,Canada,Canada,Germany,FALSE
VNL Men,2024,2024/6/20,Iran,Netherlands,3,2,3-2,5,Iran,Iran,Netherlands,FALSE
VNL Men,2024,2024/6/20,Brazil,USA,2,3,2-3,5,USA,USA,Brazil,FALSE
VNL Men,2024,2024/6/20,Argentina,Türkiye,3,0,3-0,3,Argentina,Argentina,Türkiye,FALSE
VNL Men,2024,2024/6/20,Bulgaria,Italy,0,3,0-3,3,Italy,Italy,Bulgaria,FALSE
VNL Men,2024,2024/6/20,Cuba,Slovenia,2,3,2-3,5,Slovenia,Slovenia,Cuba,FALSE
VNL Men,2024,2024/6/21,France,Iran,3,0,3-0,3,France,France,Iran,FALSE
VNL Men,2024,2024/6/21,Brazil,Canada,0,3,0-3,3,Canada,Canada,Brazil,FALSE
VNL Men,2024,2024/6/21,Japan,Netherlands,3,0,3-0,3,Japan,Japan,Netherlands,FALSE
VNL Men,2024,2024/6/21,Argentina,Poland,0,3,0-3,3,Poland,Poland,Argentina,FALSE
VNL Men,2024,2024/6/21,Bulgaria,Cuba,0,3,0-3,3,Cuba,Cuba,Bulgaria,FALSE
VNL Men,2024,2024/6/21,Serbia,Türkiye,3,1,3-1,4,Serbia,Türkiye,Serbia,TRUE
VNL Men,2024,2024/6/22,Germany,USA,1,3,1-3,4,USA,USA,Germany,FALSE
VNL Men,2024,2024/6/22,Canada,Netherlands,3,2,3-2,5,Canada,Netherlands,Canada,TRUE
VNL Men,2024,2024/6/22,France,Japan,2,3,2-3,5,Japan,France,Japan,TRUE
VNL Men,2024,2024/6/22,Argentina,Bulgaria,3,0,3-0,3,Argentina,Argentina,Bulgaria,FALSE
VNL Men,2024,2024/6/22,Poland,Serbia,3,2,3-2,5,Poland,Poland,Serbia,FALSE
VNL Men,2024,2024/6/22,Italy,Slovenia,0,3,0-3,3,Slovenia,Slovenia,Italy,FALSE
VNL Men,2024,2024/6/23,Germany,Iran,3,0,3-0,3,Germany,Germany,Iran,FALSE
VNL Men,2024,2024/6/23,Brazil,France,2,3,2-3,5,France,France,Brazil,FALSE
VNL Men,2024,2024/6/23,Japan,USA,3,0,3-0,3,Japan,Japan,USA,FALSE
VNL Men,2024,2024/6/23,Cuba,Poland,0,3,0-3,3,Poland,Poland,Cuba,FALSE
VNL Men,2024,2024/6/23,Italy,Türkiye,3,1,3-1,4,Italy,Italy,Türkiye,FALSE
VNL Men,2024,2024/6/23,Serbia,Slovenia,2,3,2-3,5,Slovenia,Slovenia,Serbia,FALSE
VNL Men,2024,2024/6/27,Canada,Japan,0,3,0-3,3,Japan,Japan,Canada,FALSE
VNL Men,2024,2024/6/27,Brazil,Poland,1,3,1-3,4,Poland,Brazil,Poland,TRUE
VNL Men,2024,2024/6/28,France,Italy,3,2,3-2,5,France,France,Italy,FALSE
VNL Men,2024,2024/6/28,Argentina,Slovenia,2,3,2-3,5,Slovenia,Argentina,Slovenia,TRUE
VNL Men,2024,2024/6/29,France,Poland,3,2,3-2,5,France,Poland,France,TRUE
VNL Men,2024,2024/6/29,Japan,Slovenia,3,0,3-0,3,Japan,Japan,Slovenia,FALSE
VNL Men,2024,2024/6/30,Poland,Slovenia,3,0,3-0,3,Poland,Poland,Slovenia,FALSE
VNL Men,2024,2024/6/30,France,Japan,3,1,3-1,4,France,France,Japan,FALSE
VNL Women,2023,2023/5/30,Germany,Netherlands,3,1,3-1,4,Germany,Germany,Netherlands,FALSE
VNL Women,2023,2023/5/30,Dominican Republic,Japan,1,3,1-3,4,Japan,Japan,Dominican Republic,FALSE
VNL Women,2023,2023/5/30,Italy,Thailand,3,2,3-2,5,Italy,Thailand,Italy,TRUE
VNL Women,2023,2023/5/30,Canada,Poland,2,3,2-3,5,Poland,Canada,Poland,TRUE
VNL Women,2023,2023/5/31,Bulgaria,Croatia,3,0,3-0,3,Bulgaria,Bulgaria,Croatia,FALSE
VNL Women,2023,2023/5/31,Brazil,China,2,3,2-3,5,China,China,Brazil,FALSE
VNL Women,2023,2023/5/31,Serbia,United States,2,3,2-3,5,United States,United States,Serbia,FALSE
VNL Women,2023,2023/5/31,Korea,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Korea,FALSE
VNL Women,2023,2023/6/1,Croatia,Germany,0,3,0-3,3,Germany,Germany,Croatia,FALSE
VNL Women,2023,2023/6/1,Bulgaria,Dominican Republic,2,3,2-3,5,Dominican Republic,Bulgaria,Dominican Republic,TRUE
VNL Women,2023,2023/6/1,Brazil,Netherlands,3,0,3-0,3,Brazil,Brazil,Netherlands,FALSE
VNL Women,2023,2023/6/1,Canada,Thailand,0,3,0-3,3,Thailand,Thailand,Canada,FALSE
VNL Women,2023,2023/6/1,Italy,Poland,1,3,1-3,4,Poland,Italy,Poland,TRUE
VNL Women,2023,2023/6/1,Serbia,Türkiye,1,3,1-3,4,Türkiye,Serbia,Türkiye,TRUE
VNL Women,2023,2023/6/2,China,Germany,3,0,3-0,3,China,China,Germany,FALSE
VNL Women,2023,2023/6/2,Dominican Republic,Netherlands,3,2,3-2,5,Dominican Republic,Dominican Republic,Netherlands,FALSE
VNL Women,2023,2023/6/2,Poland,Thailand,3,0,3-0,3,Poland,Poland,Thailand,FALSE
VNL Women,2023,2023/6/2,Croatia,Japan,0,3,0-3,3,Japan,Japan,Croatia,FALSE
VNL Women,2023,2023/6/2,Canada,Korea,3,0,3-0,3,Canada,Canada,Korea,FALSE
VNL Women,2023,2023/6/2,Italy,United States,2,3,2-3,5,United States,United States,Italy,FALSE
VNL Women,2023,2023/6/3,Brazil,Dominican Republic,3,1,3-1,4,Brazil,Brazil,Dominican Republic,FALSE
VNL Women,2023,2023/6/3,China,Netherlands,3,1,3-1,4,China,China,Netherlands,FALSE
VNL Women,2023,2023/6/3,Poland,Serbia,3,0,3-0,3,Poland,Poland,Serbia,FALSE
VNL Women,2023,2023/6/3,Bulgaria,Japan,0,3,0-3,3,Japan,Japan,Bulgaria,FALSE
VNL Women,2023,2023/6/3,Korea,United States,0,3,0-3,3,United States,United States,Korea,FALSE
VNL Women,2023,2023/6/3,Italy,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Italy,FALSE
VNL Women,2023,2023/6/4,Brazil,Croatia,3,0,3-0,3,Brazil,Brazil,Croatia,FALSE
VNL Women,2023,2023/6/4,Bulgaria,Germany,2,3,2-3,5,Germany,Bulgaria,Germany,TRUE
VNL Women,2023,2023/6/4,Korea,Thailand,0,3,0-3,3,Thailand,Thailand,Korea,FALSE
VNL Women,2023,2023/6/4,China,Japan,3,0,3-0,3,China,China,Japan,FALSE
VNL Women,2023,2023/6/4,Canada,Serbia,3,2,3-2,5,Canada,Serbia,Canada,TRUE
VNL Women,2023,2023/6/4,Türkiye,United States,2,3,2-3,5,United States,United States,Türkiye,FALSE
VNL Women,2023,2023/6/13,Dominican Republic,Poland,1,3,1-3,4,Poland,Poland,Dominican Republic,FALSE
VNL Women,2023,2023/6/13,Canada,China,0,3,0-3,3,China,China,Canada,FALSE
VNL Women,2023,2023/6/13,Croatia,United States,1,3,1-3,4,United States,Croatia,United States,TRUE
VNL Women,2023,2023/6/13,Japan,Serbia,2,3,2-3,5,Serbia,Japan,Serbia,TRUE
VNL Women,2023,2023/6/14,Bulgaria,Italy,0,3,0-3,3,Italy,Italy,Bulgaria,FALSE
VNL Women,2023,2023/6/14,Netherlands,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Netherlands,FALSE
VNL Women,2023,2023/6/14,Germany,Thailand,3,1,3-1,4,Germany,Germany,Thailand,FALSE
VNL Women,2023,2023/6/14,Brazil,Korea,3,0,3-0,3,Brazil,Brazil,Korea,FALSE
VNL Women,2023,2023/6/15,Bulgaria,Canada,0,3,0-3,3,Canada,Canada,Bulgaria,FALSE
VNL Women,2023,2023/6/15,Poland,Türkiye,3,0,3-0,3,Poland,Poland,Türkiye,FALSE
VNL Women,2023,2023/6/15,Dominican Republic,Italy,2,3,2-3,5,Italy,Italy,Dominican Republic,FALSE
VNL Women,2023,2023/6/15,Thailand,United States,0,3,0-3,3,United States,United States,Thailand,FALSE
VNL Women,2023,2023/6/15,Japan,Korea,3,0,3-0,3,Japan,Japan,Korea,FALSE
VNL Women,2023,2023/6/15,Brazil,Serbia,3,2,3-2,5,Brazil,Serbia,Brazil,TRUE
VNL Women,2023,2023/6/16,Canada,Türkiye,0,3,0-3,3,Türkiye,Türkiye,Canada,FALSE
VNL Women,2023,2023/6/16,Netherlands,Poland,3,0,3-0,3,Netherlands,Netherlands,Poland,FALSE
VNL Women,2023,2023/6/16,Bulgaria,China,1,3,1-3,4,China,Bulgaria,China,TRUE
VNL Women,2023,2023/6/16,Germany,Japan,3,2,3-2,5,Germany,Germany,Japan,FALSE
VNL Women,2023,2023/6/16,Croatia,Korea,3,0,3-0,3,Croatia,Croatia,Korea,FALSE
